trading_day_id,asia_high,asia_low,asia_range,asia_range_pips
2020-02-11,1.09196,1.09108,0.0008799999999999919,8.799999999999919
2020-02-12,1.08764,1.0871,0.0005399999999999849,5.399999999999849
2020-02-13,1.08416,1.08271,0.0014499999999999513,14.499999999999513
2020-02-16,1.08411,1.08334,0.0007699999999999374,7.699999999999374
2020-02-17,1.08367,1.08229,0.0013799999999999368,13.799999999999368
2020-02-18,1.08037,1.07927,0.001100000000000101,11.000000000001009
2020-02-19,1.08152,1.07976,0.0017599999999999838,17.599999999999838
2020-02-20,1.07936,1.07871,0.0006500000000000394,6.500000000000394
2020-02-23,1.08423,1.08244,0.0017899999999999583,17.899999999999583
2020-02-24,1.08597,1.0845,0.0014700000000000824,14.700000000000824
2020-02-25,1.08796,1.08673,0.0012300000000000644,12.300000000000644
2020-02-26,1.0913,1.08848,0.0028200000000000447,28.200000000000447
2020-02-27,1.10052,1.09857,0.0019499999999998963,19.499999999998963
2020-03-01,1.10648,1.10362,0.0028599999999998627,28.599999999998627
2020-03-02,1.11449,1.11202,0.0024699999999999722,24.699999999999722
2020-03-03,1.11797,1.11621,0.0017599999999999838,17.599999999999838
2020-03-04,1.11426,1.11327,0.0009900000000000464,9.900000000000464
2020-03-05,1.12462,1.12112,0.0035000000000000586,35.00000000000058
2020-03-08,1.14954,1.13559,0.013949999999999907,139.49999999999906
2020-03-09,1.14251,1.13718,0.005329999999999835,53.29999999999835
2020-03-10,1.13283,1.13016,0.00266999999999995,26.699999999999502
2020-03-11,1.13336,1.12593,0.007429999999999826,74.29999999999825
2020-03-12,1.11884,1.11522,0.0036199999999999566,36.19999999999956
2020-03-15,1.11689,1.10849,0.008399999999999963,83.99999999999963
2020-03-16,1.11731,1.11594,0.0013700000000000934,13.700000000000934
2020-03-17,1.10169,1.09847,0.0032200000000000006,32.2
2020-03-18,1.0949,1.08858,0.006319999999999881,63.19999999999881
2020-03-19,1.07438,1.06527,0.009109999999999951,91.09999999999951
2020-03-22,1.07206,1.06577,0.006289999999999907,62.89999999999907
2020-03-23,1.08227,1.0752,0.007070000000000132,70.70000000000131
2020-03-24,1.08088,1.07599,0.004890000000000061,48.90000000000061
2020-03-25,1.09336,1.08742,0.005940000000000056,59.40000000000056
2020-03-26,1.10484,1.10249,0.0023500000000000743,23.500000000000743
2020-03-29,1.11383,1.10897,0.0048600000000000865,48.60000000000086
2020-03-30,1.10427,1.09832,0.005950000000000122,59.500000000001215
2020-03-31,1.10372,1.10221,0.0015100000000001224,15.100000000001224
2020-04-01,1.09559,1.09384,0.0017500000000001403,17.500000000001403
2020-04-02,1.08509,1.0833,0.0017900000000001803,17.900000000001803
2020-04-05,1.08232,1.07985,0.0024699999999999722,24.699999999999722
2020-04-06,1.0802,1.07843,0.0017700000000000493,17.700000000000493
2020-04-07,1.09019,1.08668,0.003509999999999902,35.09999999999902
2020-04-08,1.08802,1.0857,0.0023199999999998777,23.199999999998777
2020-04-09,1.09353,1.09192,0.0016099999999998893,16.099999999998893
2020-04-12,1.09379,1.09283,0.0009600000000000719,9.600000000000719
2020-04-13,1.09276,1.09145,0.0013099999999999223,13.099999999999223
2020-04-14,1.09879,1.09805,0.0007399999999999629,7.399999999999629
2020-04-15,1.09072,1.08816,0.0025599999999998957,25.599999999998957
2020-04-16,1.08674,1.08538,0.0013600000000000279,13.600000000000279
2020-04-19,1.08707,1.08563,0.0014399999999998858,14.399999999998858
2020-04-20,1.08654,1.08534,0.0012000000000000899,12.000000000000899
2020-04-21,1.08605,1.08491,0.0011399999999999189,11.399999999999189
2020-04-22,1.08231,1.08046,0.0018500000000001293,18.500000000001293
2020-04-23,1.07799,1.07612,0.0018700000000000383,18.700000000000383
2020-04-26,1.08212,1.08112,0.0009999999999998899,9.999999999998899
2020-04-27,1.0836,1.08226,0.0013399999999998968,13.399999999998968
2020-04-28,1.08421,1.08239,0.0018199999999999328,18.199999999999328
2020-04-29,1.08786,1.08513,0.0027300000000001212,27.300000000001212
2020-04-30,1.09554,1.09344,0.0020999999999999908,20.999999999999908
2020-05-03,1.09624,1.09462,0.0016200000000001769,16.20000000000177
2020-05-04,1.09131,1.09021,0.001100000000000101,11.000000000001009
2020-05-05,1.08438,1.08345,0.0009299999999998754,9.299999999998754
2020-05-06,1.08024,1.0792,0.001040000000000152,10.40000000000152
